location,Latitude,Longitude
Agra,27.18333,78.01667
Ahmedabad,23.02579,72.58727
Ajmer,26.25,74.66667
Aligarh,27.83333,78.16667
Allahabad,25.45,81.85
Ambattur,13.09818,80.16152
Amravati,20.93333,77.75
Amritsar,31.67,74.84
Asansol,23.68333333,86.96666667
Aurangabad,24.75204,84.3742
Aurangabad,19.88467,75.33986
Bangalore,13,77.58333
Bareilly,28.41667,79.38333
Bhavnagar,21.76287,72.15331
Bhilai,21.20919,81.4285
Bhiwandi,19.30023,73.05881
Bhopal,23.25469,77.40289
Bikaner,28.01762,73.31495
Chandigarh,30.73629,76.7884
Chennai,13.08784,80.27847
Coimbatore,10.8,77.09
Cuttack,20.5,86.25
Dehradun,30.33,78.06
Delhi,28.65195,77.23149
Dhanbad,23.80199,86.44324
Durgapur,20.0054,79.30273
Erode,11.34,77.55
Faridabad,28.41124,77.31316
Firozabad,27.20072,78.42867
Gaya,24.79686,85.00385
Ghaziabad,28.66535,77.43915
Gorakhpur,29.44768,75.67206
Guntur,16.29974,80.45729
Gurgaon,28.43891,77.00592
Guwahati,26.1844,91.7458
Gwalior,26.22983,78.17337
Howrah,22.57688,88.31857
Hyderabad,17.38405,78.45636
Indore,22.66667,75.75
Jabalpur,23.16,79.95
Jaipur,27,76
Jalandhar,31.41667,75.61667
Jalgaon,21.00292,75.56602
Jamnagar,22.47292,70.06673
Jamshedpur,22.80278,86.18545
Jhansi,25.5,78.5
Jodhpur,21.90174,70.0327
Jodhpur,26.75,72.75
Kanpur,26.46523,80.34975
Kolhapur,16.69013,74.22981
Kolkata,22.54111111,88.33777778
Kota,22.29507,82.02366
Kurnool,15.58333,78.33333
Loni,28.75143,77.29023
Lucknow,26.83928,80.92313
Ludhiana,30.91204,75.85379
Madurai,9.89,78.03
Malegaon,20.54966,74.53462
Meerut,28.91667,77.68333
Moradabad,28.8525,78.79703
Mumbai,19.07283,72.88261
Nagpur,21.14631,79.08491
Nanded,18.91667,77.5
Nashik,19.99727,73.79096
Navi Mumbai,19.03681,73.01582
Nellore,14.08333,79.58333
Noida,28.58,77.33
Patna,25.41667,85.16667
Pimpri-Chinchwad,18.62777778,73.81305556
Pune,18.51957,73.85535
Raipur,21.25621,81.69022
Rajahmundry,17.00517,81.77784
Rajkot,22.33333,70.83333
Ranchi,23.34316,85.3094
Saharanpur,29.9,77.68333
Salem,11.69,78.29
Sangli,17.11202,74.7699
Siliguri,26.71004,88.42851
Solapur,17.75,75.5
Srinagar,34.08565,74.80555
Surat,21.17801,72.81189
Thane,19.33333,73.25
Thiruvananthapuram,8.60399,76.98574
Tiruchirappalli,10.97,78.65
Tirunelveli,8.72742,77.6838
Tiruppur,11.11541,77.35456
Udaipur,24.33,73.77
Ujjain,23.41667,75.5
Ulhasnagar,19.21667,73.15
Vadodara,22.29941,73.20812
Varanasi,25.31668,83.01041
Vijayawada,16.50745,80.6466
Visakhapatnam,17.68009,83.20161
Warangal,18,79.83333
